Number,Finnish,English,Examples
0588,yllättävän,surprisingly,"Sepä yllättävää.
That is surprising.

Tuo on yllättävää.
That is surprising.

Se on yllättävää.
That is surprising.

Kysymys vaikutti yllättävän Tomin.
The question seemed to surprise Tom.

Eväsretki oli yllättävän pitkästyttävä.
The picnic was a disappointment.

Tutkijat tekivät yllättävän löydöksen.
The researchers made a surprising discovery.

Jalokivi löytyi yllättävästä paikasta.
The jewel was found in an unlikely place.

He ovat yllättävän hyviä.
They're surprisingly good.

Tämä on todellakin yllättävää.
This may beat the Dutch.

Televisio vie yllättävän paljon sähköä.
Televisions use more electricity than you might expect."
0589,kasvaa,grow,"Jono kasvaa.
The queue is growing.

Kastele kasvit!
Water the plants.

Kasva aikuiseksi!
Grow up!

Kasva aikuiseksi.
Harden up.

Kasvit kasvavat.
Plants grow.

Tom kasvaa.
Tom is growing up.

Minulla on kasvain.
I have a tumor.

Puutarhassa kasvaa bambuja.
There's bamboo growing in the garden.

Missä setrejä kasvaa?
Where do cedars grow?

Kastele ne kasvit!
Water the plants."
0590,kävi,run,"Sepä yllättävää.
That is surprising.

Tuo on yllättävää.
That is surprising.

Se on yllättävää.
That is surprising.

Kysymys vaikutti yllättävän Tomin.
The question seemed to surprise Tom.

Eväsretki oli yllättävän pitkästyttävä.
The picnic was a disappointment.

Tutkijat tekivät yllättävän löydöksen.
The researchers made a surprising discovery.

Jalokivi löytyi yllättävästä paikasta.
The jewel was found in an unlikely place.

He ovat yllättävän hyviä.
They're surprisingly good.

Tämä on todellakin yllättävää.
This may beat the Dutch.

Televisio vie yllättävän paljon sähköä.
Televisions use more electricity than you might expect."
0591,laittaa,put,"Tomi laittaa ruokaa.
Tom's cooking.

Lentokonetila hiljentää laitteet.
Airplane mode silences devices.

Sain laitteen käynnistymään.
I got the machine running.

Vaimoni laittaa ruokaa.
My wife is cooking.

Lait ovat tarpeellisia.
Laws are necessary.

Voisitko laittaa hiljaisemmalle?
Turn down the volume, please.

Voisitko laittaa pienemmälle?
Turn down the volume, please.

Tom laittaa aamupalaa.
Tom's cooking breakfast.

Aion laittaa päivällisen.
I'm going to cook dinner.

Tom laittaa ruokaa.
Tom's cooking."
0592,pääosin,mainly,"Nämä kukat selviytyvät pääosin talvesta.
These flowers will live through the winter more often than not.

Ihmiset olivat pääosin kulutusveroa vastaan.
In general, people were against the consumption tax.

Tulipalon syy on pääosin tiedossa.
There is not much doubt about the cause of the fire.

Väkijoukko koostui pääosin naisista ja lapsista.
The crowd was mostly women and children.

Maan pinta on pääosin veden peitossa.
Earth's surface is covered mostly by water.

Se pääosin puusta tehty tuoli on kallis.
The wooden chair is expensive.

Työ koostuu pääosin pusikoiden poistosta ja roskien siivoamisesta.
The work mostly consists of removing undergrowth and clearing away litter.

Työ on pääosin pusikoiden poistoa ja roskien siivoamista.
The work mostly consists of removing undergrowth and clearing away litter.

Työ koostuu pääosin puskien poistosta ja roskien siivoamisesta.
The work mostly consists of removing undergrowth and clearing away litter.

Työ on pääosin puskien poistoa ja roskien siivoamista.
The work mostly consists of removing undergrowth and clearing away litter."
0593,hänellä,on his or her,"Puhuin hänelle.
I talked to her.

Soitin hänelle.
I called her up.

Lauloin hänelle.
I sang for him.

Tunnetteko hänet?
Do you know her?

Pelästytin hänet.
I scared her.

Tiedän hänet.
I know him.

Kirjoitin hänelle.
I wrote to him.

Kysymme häneltä.
We'll ask him.

Tapatko hänet?
Will you kill him?

Tapoitko hänet?
Did you kill him?"
0594,tarpeeksi,enough,"Juokaa tarpeeksi!
Stay hydrated!

Juo tarpeeksi!
Stay hydrated!

Se on tarpeeksi.
That's enough.

Onko tämä tarpeeksi?
Is this enough?

Onko kastiketta tarpeeksi?
Is there enough gravy?

Se oli tarpeeksi.
It was enough.

En liiku tarpeeksi.
I don't get enough exercise.

Onko tässä tarpeeksi?
Is this enough?

Onko siinä tarpeeksi?
Is it enough?

En nuku tarpeeksi.
I don't get enough sleep."
0595,kirjoittaa,write,"Kirjoitit.
You wrote.

Kirjoitin hänelle.
I wrote to him.

Kirjoitan siitä.
I will write about it.

Kirjoitan päiväkirjaa.
I keep a diary.

Tykkäätkö kirjoittaa?
Do you like writing?

Osaatteko kirjoittaa?
Can you write?

Voitteko kirjoittaa?
Can you write?

Voitko kirjoittaa?
Can you write?

Osaatko kirjoittaa?
Can you write?

Kirjoitathan lyijykynällä.
Please write with a pencil."
0596,mukavaa,nice,"Mukava.
Nice.

Tuntui mukavalta.
I felt comfortable.

Istukaa mukavasti.
Sit comfortably.

Istu mukavasti.
Sit comfortably.

Mukavia lukuhetkiä.
Happy reading.

Mukava puku.
Nice suit.

Mukava tutustua!
Charmed!

Mukava tavata!
Charmed!

Mukavaa koulupäivää.
Have a good day at school.

Mukavaa lomaa.
Have a nice holiday."
0597,oletko,Are you,"Olen.
I am.

Olen!
I am!

Olen professori.
I'm a teacher.

Olen japaninamerikkalainen.
I'm Japanese-American.

Olen turkkilainen.
I'm Turkish.

Olet laulaja.
You are a singer.

Oletko palannut?
You've come back?

Olen yhteistyökykyinen.
I'm cooperative.

Olen alasti.
I'm naked.

Olet vakooja.
You're a spy."
0598,pääsee,get off,"Pääsetkö sinäkin?
Can you come, too?

Pääsetkö Bostoniin?
Can you come to Boston?

Minä pääsen läpi.
I'll pass.

Kaupunkiin pääsee junalla.
The town is accessible by rail.

Koska pääsen vapaaksi?
When will I be free?

Milloin pääsen vapaaksi?
When will I be free?

Kylään pääsee helposti.
The village is easy of access.

Luolaan pääsee helposti.
The cave is easy to access.

Tulen, jos pääsen.
I will come if I can.

Tulen jos pääsen.
I will come if I can."
0599,näistä,of these,"Pidän näistä väreistä.
I like the colors.

Tykkäättekö näistä väreistä?
Do you like these colors?

Tykkäätkö näistä väreistä?
Do you like these colors?

Pidättekö näistä väreistä?
Do you like these colors?

Pidätkö näistä väreistä?
Do you like these colors?

Minkä näistä ottaisit?
Which one would you take?

Minkä näistä otat?
Which one do you take?

Ota joku näistä.
Take one of these.

Annan näistä paremman sinulle.
I'll give the good one to you.

Valitse toinen näistä kahdesta.
Choose between the two."
0600,yllättäen,surprisingly,"Tragedia tapahtui yllättäen.
The tragedy happened suddenly.

Sota syttyi yllättäen.
War suddenly broke out.

Tommi kuoli yllättäen.
Tom's death came as a surprise.

Yllättäen iski kova vatsakipu.
I felt a sharp pain in my stomach all of a sudden.

Taksi kääntyi yllättäen vasempaan.
The taxi abruptly turned left.

Yllättäen hän alkoi nauraa.
All of a sudden, she began to laugh.

Yllättäen hän purskahti nauramaan.
All of a sudden, she began to laugh.

Älä jarruta noin yllättäen.
Don't brake so suddenly.

Älkää jarruttako noin yllättäen.
Don't brake so suddenly.

Tom purskahti yllättäen nauruun.
Tom burst into laughter."
0601,meillä on,We have,"Meillä on kyyhky.
We have a dove.

Meillä on tilaa.
We have room.

Meille on valehdeltu.
We've been lied to.

Meillä on pallit.
We have eggs.

Meillä on munat.
We have eggs.

Meillä on kartta.
We have a map.

Meillä on bändi.
We're a band.

Meillä on probleemoita.
We're in trouble.

Meillä on ongelmia.
We're in trouble.

Meillä on munia.
We have eggs."
0602,on paljon,There is a lot of,"Eteenpäin!
Forward!

Ajakaa eteenpäin.
Drive on.

Siirryhän eteenpäin.
Move along, please.

Siirtykäähän eteenpäin.
Move along, please.

Nojasin eteenpäin.
I leaned forward.

Jatka eteenpäin.
Go on.

Jatketaan eteenpäin.
Let's keep going.

Astu eteenpäin.
Step forward.

Siirtyisittekö eteenpäin?
Would you just move along a bit, please?

Menkää eteenpäin.
Go ahead!"
0603,eteenpäin,ahead,"Eteenpäin!
Forward!

Ajakaa eteenpäin.
Drive on.

Siirryhän eteenpäin.
Move along, please.

Siirtykäähän eteenpäin.
Move along, please.

Nojasin eteenpäin.
I leaned forward.

Jatka eteenpäin.
Go on.

Jatketaan eteenpäin.
Let's keep going.

Astu eteenpäin.
Step forward.

Siirtyisittekö eteenpäin?
Would you just move along a bit, please?

Menkää eteenpäin.
Go ahead!"
0604,olimme,We were,"Olit täydellinen.
You were perfect.

Olit väärässä.
You were mistaken.

Olimme oikeassa.
We were right.

Olimme hengenvaarassa.
We were in danger of losing our lives.

Olitko kännissä?
Is it done?

Olitko kateellinen?
Were you jealous?

Olitko kotona?
Were you home?

Olitko vakavissasi?
Were you serious?

Oli joulu.
It was Christmas.

Olitko hermostunut?
Were you nervous?"
0605,ei tarvitse,does not need,"Ei tarvitse valehdella.
There's no need to lie.

Ei tarvitse paketoida.
You don't have to wrap it up.

Ei tarvitse huolehtia.
No need to worry.

Tommin ei tarvitse opiskella.
Tom doesn't have to study.

Sinun ei tarvitse selitellä.
You don't have to make excuses.

Sinun ei tarvitse vastata.
You don't have to answer.

Sinun ei tarvitse irtisanoutua.
It is not necessary for you to quit the job.

Ei tarvitse olla epäkohtelias.
There's no need to be rude.

Teidän ei tarvitse tulla.
You don't have to come.

Sinun ei tarvitse tulla.
You don't have to come."
0606,muutenkin,as it is,"Hei muuten.
Hey.

Soitatko muuten viulua?
By the way, do you play the violin?

Missä muuten asut?
By the way, where do you live?

Tomi on muuten paperiton.
Tom is an illegal immigrant.

Soitatko sinä muuten viulua?
By the way, do you play the violin?

Missä sinä muuten asut?
By the way, where do you live?

Minkä ikäinen muuten olet?
By the way, how old are you?

Miten vanha muuten olet?
By the way, how old are you?

Kuinka vanha muuten olet?
By the way, how old are you?

Mistä olet muuten kotoisin?
By the way, where are you from?"
0607,jossain,somewhere,"Jos haluat.
If you want.

Mitä jos juostaan?
How about running?

Oletko jostakin huolissasi?
Are you worried about something?

Soita, jos sataa.
Telephone me if it rains.

Tule jos mahdollista.
Please come if you can.

Odottele jossain muualla.
Wait somewhere else.

Jos te vaaditte.
If you insist.

Jos sinä vaadit.
If you insist.

Tulen, jos pääsen.
I will come if I can.

Tulen jos pääsen.
I will come if I can."
0608,hyvän,good,"Hyvää!
I'm fine, thanks!

Hyvää.
I'm fine, thank you.

Hyvältä.
Great.

Hyvä!
Good!

Hyvä.
Good.

Hyvä yritys.
Good try.

Hyvää loppupäivää.
Have a nice day.

Olkaa hyvät...
Please...

Ole hyvä...
Please...

Hyvä huomio!
How perceptive!"
0609,niihin,on them,"Menettekö niihin juhliin?
Are you going to the party?

Menetkö niihin juhliin?
Are you going to the party?

Älä koske niihin.
Don't touch those.

Olitko tyytyväinen niihin tuloksiin?
Were you happy with the results?

Menettekö te niihin juhliin?
Are you going to the party?

Menetkö sinä niihin juhliin?
Are you going to the party?

Sä voit luottaa niihin.
You can trust them.

Onko sinulla varaa niihin?
Can you afford them?

Haluan mahtua niihin farkkuihin.
I want to fit into those jeans.

Olitko sinä tyytyväinen niihin tuloksiin?
Were you happy with the results?"
0610,on vielä,there is still,"Onko vielä kaljaa?
Is there any more beer?

On vieläkin tungosta.
It's still crowded.

Paljon on vielä jäljellä.
There's still a lot left.

Riisi on vielä lämmintä.
The rice is still warm.

Ruoka on vielä lämmintä.
The rice is still warm.

Se on vielä auki.
It's still open.

Tomi on vielä siivoamassa.
Tom is still cleaning up.

Hän on vielä täällä.
He is still here.

Jalkani on vieläkin puutunut.
My leg's still asleep.

Projekti on vielä kesken.
The project is still ongoing."
0611,tunteita,feelings,"Tunteet tarttuvat.
Emotions are contagious.

Tiedän tunteen.
I know the feeling.

Odotetaan tunti.
Let's wait an hour.

Loukkasinko tunteitasi?
Did I hurt your feelings?

Ajattele hänen tunteitaan.
Think about her feelings.

Yhdeksän tuntia kului.
It's been nine hours.

Hän hillitsi tunteensa.
He subdued his passions.

Tunti alkaa kymmeneltä.
The class starts at ten.

Hän tuntee tien.
He knows the way.

Tunteeko hän sinua?
Does she know you?"
0612,mulle,to me,"Näytä mulle.
Let me check it.

Oispa mullakin.
I envy you.

Puhuksä mulle?
Are you talking to me?

Anna mulle kerrosvoileipä.
Give me a sandwich.

Soittele mulle välillä.
Call me once in a while.

Hae mulle viiniä.
Get me some wine.

Tilaa mulle olut.
Order me a beer.

Mulla oli ikävä!
I missed you.

Mul oli hommii.
I had stuff to do.

Mulla on darra.
I have a hangover."
0613,ennen kuin,before,"Jos haluat.
If you want.

Mitä jos juostaan?
How about running?

Oletko jostakin huolissasi?
Are you worried about something?

Soita, jos sataa.
Telephone me if it rains.

Tule jos mahdollista.
Please come if you can.

Odottele jossain muualla.
Wait somewhere else.

Jos te vaaditte.
If you insist.

Jos sinä vaadit.
If you insist.

Tulen, jos pääsen.
I will come if I can.

Tulen jos pääsen.
I will come if I can."
0614,toimi,action,"Toimi.
Take action.

Toimiiko ilmastointi?
Is the air conditioning working?

Tuo toimi.
That worked.

Tuo toimii.
That works.

Hypnotismi toimii.
Hypnotism works.

Toimiiko tuo?
Does it work?

Tämä toimii.
This works.

Toimi nopeammin!
Act faster!

Toimi nopeampaa!
Act faster!

Toimiiko se?
Does it work?"
0615,nimi,name,"Syötä nimi.
Input your name.

Sepä kummallinen nimi.
That's an unusual name.

Sepä epätavallinen nimi.
That's an unusual name.

Nimi kuulostaa tutulta.
The name sounds familiar.

Poista Tomin nimi listalta.
Delete Tom's name from the list.

Tuo nimi kuulostaa tutulta.
That name sounds familiar to me.

Se nimi kuulostaa tutulta.
That name rings a bell.

Tom on kolmikirjaiminen nimi.
Tom is a three-lettered name.

Äitini nimi on Ina.
My mother's name is Ina.

Miten sinun nimi lausutaan?
How do you pronounce your name?"
0616,pitkä,long,"Ajattele ennen kuin puhut.
Think before you speak.

Soitathan ennen kuin tulet.
Please call before you come.

Viittaa ennen kuin vastaat.
Raise your hand before you answer.

Katso ennen kuin hyppäät.
Look before you leap.

Herätä minut ennen kuin menet.
Wake me up before you go.

Opi kävelemään ennen kuin juokset.
Learn to walk before you run.

Mene ennen kuin muutan mieleni.
Go, before I change my mind.

Aloitetaan ennen kuin aurinko nousee.
Let's start before the sun rises.

Lähden ennen kuin hän palaa.
I will be gone by the time she comes back.

Älä ammu ennen kuin käsken.
Don't shoot until I tell you to."
0617,lähellä,near,"Syötä nimi.
Input your name.

Sepä kummallinen nimi.
That's an unusual name.

Sepä epätavallinen nimi.
That's an unusual name.

Nimi kuulostaa tutulta.
The name sounds familiar.

Poista Tomin nimi listalta.
Delete Tom's name from the list.

Tuo nimi kuulostaa tutulta.
That name sounds familiar to me.

Se nimi kuulostaa tutulta.
That name rings a bell.

Tom on kolmikirjaiminen nimi.
Tom is a three-lettered name.

Äitini nimi on Ina.
My mother's name is Ina.

Miten sinun nimi lausutaan?
How do you pronounce your name?"
0618,lukea,read,"Tykkäätkö lukea?
Do you like to read?

Osaatko lukea?
Do you know how to read?

Hän lukee.
He is reading.

Nainen lukee.
The woman is reading.

Kuka lukee?
Who is reading?

Tom lukee.
Tom is reading.

Osaan lukea.
I can read.

Hän osaa lukea.
He can read.

Tuomas lukee novellikokoelmaa.
Tom is reading a book of short stories.

Hän lukee paljon.
He reads a lot."
0619,mutta nyt,but now,"Aluksi en pitänyt hänestä, mutta nyt pidän.
At first I didn't like him, but I do now.

En tiennyt sitä silloin, mutta nyt tiedän.
I didn't know it back then, but I know it now.

Junaan noustessani piskotteli, mutta nyt sataa kaatamalla.
The rain that was drizzling when I got on to the train is now pouring.

Hän sanoi, ""Voin pahoin, mutta nyt olen kunnossa.""
He said, ""I felt ill, but I am all right.""

Asuin Tokiossa muutama vuosi sitten, mutta nyt asun Kiotossa.
I lived in Tokyo a few years ago, but now I live in Kyoto.

Tomi oli ennen juoppo, mutta nyt hän on raivoraitis.
Tom was previously a drunk, but now he's a teetotaler.

Flunssani parantuminen kesti yli kuukauden, mutta nyt olen terve.
It took more than a month to get over my cold, but I'm OK now.

Jätin sateenvarjoni tänne, mutta nyt en pysty sitä löytämään.
I left my umbrella here, but now I can't find it.

Asuin Tokiossa muutama vuosi sitten mutta nyt asun Kiotossa.
I lived in Tokyo a few years ago, but now I live in Kyoto.

Minä asuin Tokiossa muutama vuosi sitten, mutta nyt asun Kiotossa.
I lived in Tokyo a few years ago, but now I live in Kyoto."
0620,itselleni,for myself,"Laulan itsekseni.
I'll sing by myself.

Tanssin itsekseni.
I was dancing by myself.

Petät itseäsi.
You are deceiving yourself.

Tee itse!
Do it yourself.

Häpeän itseäni.
I am ashamed of myself.

Katsokaa itse!
See for yourself.

Katso itse!
See for yourself.

Ajatelkaa itse.
Think for yourself.

Ajattele itse.
Think for yourself.

Kiitos itsellenne!
Never mind!"
0621,hän ei,she does not,"Hän ei itkenyt.
She did not cry.

Hän ei tupakoi.
He does not smoke.

Hän ei polta.
He does not smoke.

Häntä ei väsyttänyt.
He wasn't tired.

Häntä ei kutsuttu.
He was not invited.

Hän ei vastannut.
She didn't reply.

Hän ei kärähtänyt.
She didn't get caught.

Hän ei välittänyt.
He spared no efforts.

Hän ei kuuntele.
She doesn't listen.

Hän ei tullut.
She did not come."
0622,kesällä,in summer,"Hyvää kesää.
Have a good summer.

Pidätkö kesästä?
Do you like summer?

Lorvin koko kesän.
I slacked off all summer.

Menen kesällä Bostoniin.
I'm going to Boston in the summer.

Säästäthän vettä kesällä.
Please conserve water during the summer.

Mä rakastan kesää.
I love summer.

Kesä on takanamme.
The summer is behind us.

Menen Ranskaan kesällä.
During the summer, I will go to France.

Minä rakastan kesää.
I really like summer.

Kesällä on kuuma.
It's hot in the summer."
0623,siihen että,for,"Aluksi en pitänyt hänestä, mutta nyt pidän.
At first I didn't like him, but I do now.

En tiennyt sitä silloin, mutta nyt tiedän.
I didn't know it back then, but I know it now.

Junaan noustessani piskotteli, mutta nyt sataa kaatamalla.
The rain that was drizzling when I got on to the train is now pouring.

Hän sanoi, ""Voin pahoin, mutta nyt olen kunnossa.""
He said, ""I felt ill, but I am all right.""

Asuin Tokiossa muutama vuosi sitten, mutta nyt asun Kiotossa.
I lived in Tokyo a few years ago, but now I live in Kyoto.

Tomi oli ennen juoppo, mutta nyt hän on raivoraitis.
Tom was previously a drunk, but now he's a teetotaler.

Flunssani parantuminen kesti yli kuukauden, mutta nyt olen terve.
It took more than a month to get over my cold, but I'm OK now.

Jätin sateenvarjoni tänne, mutta nyt en pysty sitä löytämään.
I left my umbrella here, but now I can't find it.

Asuin Tokiossa muutama vuosi sitten mutta nyt asun Kiotossa.
I lived in Tokyo a few years ago, but now I live in Kyoto.

Minä asuin Tokiossa muutama vuosi sitten, mutta nyt asun Kiotossa.
I lived in Tokyo a few years ago, but now I live in Kyoto."
0624,ainakaan,at least not,"Aina.
Always.

Mokaan aina.
I always fail.

Lähes aina.
Almost always.

Aina auki.
Always open.

Aina palveluksessanne!
Always at service!

Melkein aina.
Almost always.

Valitamme aina.
We're always complaining.

Noudatan aina sääntöjä.
I always play by the rules.

Hän miesselittää aina.
He's always mansplaining.

Hän aina miesselittää.
He's always mansplaining."
0625,aluksi,at first,"Tykkäätkö lukea?
Do you like to read?

Osaatko lukea?
Do you know how to read?

Hän lukee.
He is reading.

Nainen lukee.
The woman is reading.

Kuka lukee?
Who is reading?

Tom lukee.
Tom is reading.

Osaan lukea.
I can read.

Hän osaa lukea.
He can read.

Tuomas lukee novellikokoelmaa.
Tom is reading a book of short stories.

Hän lukee paljon.
He reads a lot."
0626,nykyisin,today,"Asun nykyisin Tokiossa.
Now I'm living in Tokyo.

Asun nykyisin Bostonissa.
Now I'm living in Boston.

Nykyisin olen onnellinen.
I'm happy these days.

Pantheon on nykyisin kirkko.
The Pantheon is now a church.

Olen tyytyväinen nykyiseen asemaani.
I'm content with my current position.

Nykyisin aseita on kaikilla.
Everyone now has a gun.

Nykyisin matkustaminen on helppoa.
Travelling is easy these days.

Mitä Tomi puuhaa nykyisin?
What's Tom up to nowadays?

Olen nykyisin todella kiireinen.
I'm very busy these days.

Nykyisin afrikassa ei ole poliota.
Africa is now polio-free."
0627,tapahtuu,occur,"Tapahtuuko mitään?
Is anything happening?

Mitä tapahtuu?
What's happening?

Mitä Ukrainassa tapahtuu?
What is happening in Ukraine?

Mitä sulle tapahtu?
Hey, what happened?

Ymmärätkö mitä tapahtuu?
Do you know what's happening?

Tajuatko mitä tapahtuu?
Do you know what's happening?

Tiedätkö mitä tapahtuu?
Do you know what's happening?

Mitä ihmettä tapahtuu?
What is going on?

Vahinko ehti tapahtua.
The damage is done.

Mitä nyt tapahtuu?
What happens now?"
0628,auki,open,"Suu auki.
Open your mouth.

Aina auki.
Always open.

Työnnä auki.
Push the door open.

Ovi auki!
Open up.

Suu auki!
Open your mouth!

Kauppa on auki.
The store is open.

Portit ovat auki.
The gates are open.

Onko pankki auki?
Is the bank open?

Ovet on auki.
The doors are open.

Jätitkö oven auki?
Did you leave the door open?"
0629,omaan,in one's own,"Jokaiselle omansa.
To each his own.

Saanko oman huoneen?
Am I going to get my own room?

Unohdin oman puhelinnumeroni.
I forgot my telephone number.

Puhu omasta puolestasi.
Speak for yourself.

Haluan oman huoneen.
I want to have my own room.

Pidän omasta sukunimestäni.
I like my last name.

Tiedätkö omaa veriryhmää?
Do you know your blood type?

Ole oma itsesi.
Be yourself!

Pesin omat paitani.
I washed my own shirts.

Pysy omalla kaistallasi.
Stay in your lane."
0630,hänet,him,"Puhuin hänelle.
I talked to her.

Soitin hänelle.
I called her up.

Lauloin hänelle.
I sang for him.

Tunnetteko hänet?
Do you know her?

Pelästytin hänet.
I scared her.

Tiedän hänet.
I know him.

Kirjoitin hänelle.
I wrote to him.

Kysymme häneltä.
We'll ask him.

Tapatko hänet?
Will you kill him?

Tapoitko hänet?
Did you kill him?"
0631,määrä,number,"Puhuin hänelle.
I talked to her.

Soitin hänelle.
I called her up.

Lauloin hänelle.
I sang for him.

Tunnetteko hänet?
Do you know her?

Pelästytin hänet.
I scared her.

Tiedän hänet.
I know him.

Kirjoitin hänelle.
I wrote to him.

Kysymme häneltä.
We'll ask him.

Tapatko hänet?
Will you kill him?

Tapoitko hänet?
Did you kill him?"
0632,tee,tea,"Tee jäähtyy.
Your tea's getting cold.

Tee itse!
Do it yourself.

Tee parhaasi!
Do your best!

Tee se.
Do it.

Tee parannus!
Repent!

Tee töitä!
Work!

Tee töitä.
Work.

Tee jotain!
Do something!

Tee päätös.
Make a decision.

Tee, kiitos.
Tea, please."
0633,täällä ja,here and,"Minä pysyn täällä ja tarkkailen sinua.
I'll stay here and watch you.

Tuo konsepti sai alkunsa täällä ja menestyi ulkomailla.
That concept germinated here and thrived overseas.

Täällä on sauna ja uima-allas.
There's a sauna and a pool.

Täällä sekoitetaan brasilialaista ja kolumbialaista kahvia.
They blend Brazilian and Colombian coffee here.

Täällä meillä päin sataa paljon kesäkuussa ja heinäkuussa.
We have a lot of rain in June and July.

Täällä on hyvää ruokaa ja palvelukin on hyvää.
The food is good, and service is good here.

Täällä on hyvä ilmastointi ja tämä on oivallinen paikka viilentelyyn.
It's well-ventilated and an ideal place to cool down.

Täältä löytyy todella harvoja lauseita fääriksi, ja minä kysyn itseltäni miksi.
There are very few sentences in Faroese here. I wonder, why is that so?

Pidä mielessäsi, että olet täällä vieraana ja sinun olisi syytä käyttäytyä sen mukaisesti.
Bear in mind that you're a guest here and should behave accordingly.

Tavallisesti kun hän käy siellä, hän lähtee täältä aina aikaisin aamulla ja palaa takaisin myöhään illalla.
When he goes there, he usually sets off from here very early in the morning and returns late in the evening."
0634,puolella,on the side of,"Rukoile puolestani.
Pray for me.

Pelkään puolestasi.
I'm afraid for you.

Olen puolellasi.
I'm on your side.

Puhu omasta puolestasi.
Speak for yourself.

Kummalla puolella olet?
Which side are you on?

Kutittaa joka puolelta.
My body itches all over.

Rukoile Pariisin puolesta.
Pray for Paris.

Äitini kokkaa puolestani.
My mother cooks for me.

Rukoilen hänen puolestaan.
I'll pray for him.

Puolet melonista syötiin.
Half of the melon was eaten."
0635,vaatteita,clothes,"Vaihdan vaatteet.
I'll change.

Sievät vaatteet!
Pretty clothes!

Miellyttääkö teitä vaatteeni?
Do you like my clothes?

Myyn vaatteita netissä.
I sell clothes online.

Pesin vaatteet joessa.
We washed our clothes in the river.

Laita vaatteet vaatekaappiin.
Put the clothes in the wardrobe.

Vaatteet tekävät miehen.
Clothes make the man.

Vaatteet ovat märät.
The clothes are wet.

Tarvitsen uusia vaatteita.
I need some new clothes.

Pesen vaatteet käsin.
I wash clothes by hand."
0636,sen sijaan,instead,"Vaihdan vaatteet.
I'll change.

Sievät vaatteet!
Pretty clothes!

Miellyttääkö teitä vaatteeni?
Do you like my clothes?

Myyn vaatteita netissä.
I sell clothes online.

Pesin vaatteet joessa.
We washed our clothes in the river.

Laita vaatteet vaatekaappiin.
Put the clothes in the wardrobe.

Vaatteet tekävät miehen.
Clothes make the man.

Vaatteet ovat märät.
The clothes are wet.

Tarvitsen uusia vaatteita.
I need some new clothes.

Pesen vaatteet käsin.
I wash clothes by hand."
0637,joka päivä,every day,"Rukoilen joka päivä.
I pray every day.

Juoksen joka päivä.
I run every day.

Itken joka päivä.
I cry every day.

Tapaamme joka päivä.
We see each other every day.

Uin joka päivä.
I swim every day.

Hölkkään joka päivä.
I run every day.

Käytkö ostoksilla joka päivä?
Do you go shopping every day?

Pese hampaasi joka päivä.
Brush your teeth every day.

Käveleskelen metsässä joka päivä.
I walk in the forest every day.

Juotko alkoholia joka päivä?
Do you drink alcohol every day?"
0638,parempi,better,"Olen parempi.
I am better.

Pystyt parempaan.
You could do much better.

Tyhjää parempi.
Better than nothing.

Menetelmämme on parempi.
Our method is better.

Sinun on parempi.
Yours is better.

Onko parempaa ilmaisutapaa?
Is there a better way to express this?

Minä olen parempi.
I am better.

Tarvitsen parempaa sanakirjaa.
I need a better dictionary.

Olen teitä parempi.
I'm better than you.

Nyt on parempi.
That's better."
0639,että hän,that he,"Mikset etsi häntä?
Why don't you look for him?

Toivon että hän tulee.
I hope that he will come.

Odotan, että hän palaa.
I'm waiting for him to return.

Ajattelin, että hän vitsailee.
I thought she was joking.

Luulin, että hän vitsailee.
I thought she was joking.

Luulen, että hän oksentaa.
I think she's going to be sick.

Toivon, että hän tulee.
I hope that he will come.

Tiesin, että hän suostuisi.
I knew he would accept.

Luulen, että hän teeskentelee.
I think he's faking.

Vaadin että häntä rangaistaan.
I demand that he be punished."
0640,etten,not,"Ette.
No.

Et.
No.

Tajusin, että...
I'd realised that...

Ettekö lähde?
Won't you go?

Ettekö mene?
Won't you go?

Etkö laula?
Aren't you going to sing?

Ettekö käsitä?
Don't you get it?

Että kehtaakin!
What a nerve!

Että julkenetkin!
How dare you!

Etkö tupakoi?
Don't you smoke?"
0641,voit,you can,"Voitin.
I've won.

Voitin melkein.
I almost won.

Elämä voittaa.
Life wins.

Voit toimia.
You have agency.

Voitte toimia.
You have agency.

Voitko kääntää?
Can you translate?

Voitko huonosti?
Are you feeling under the weather?

Voitin taas.
I won again.

Tahdon voittaa.
I want to win.

Voitin lotossa.
I won the lottery."
0642,mielessä,in view,"Mielelläni.
Gladly.

Mielelläni!
You're welcome!

Kyllä. Mielelläni!
Yes. Gladly!

Pahoitinko mielesi?
Did I hurt your feelings?

Joo, mielelläni.
Yes, gladly.

Kyllä, mielelläni.
I don't mind if I do!

Joo, mielelläni!
Yes, gladly.

Kyllä, mielelläni!
Yes, gladly.

Tulen mielelläni!
I'm happy to come!

Maksan mielelläni.
I would be more than happy to pay."
0643,aikoinaan,once,"Mihin aikoihin?
About what time?

Elämme kovia aikoja.
Times are tough.

Tom aikoo hypätä.
Tom is going to jump.

Hän aikoo jotakin.
He's up to something.

Hän aikoo avioitua.
He's thinking about getting married.

Aikooko Jane laulaa?
Will Jane sing?

Hän aikoo mennä Irlantiin.
She'll go to Ireland.

Pappa oli aikoinaan kokki.
My grandfather used to be a chef.

Mitä Tomi aikoo tehdä?
What does Tom plan to do?

Mihin aikoihin on tauko?
When is the intermission?"
